id,name,lat,lng,source,category,number_of_votes,reviews_per_day
ChIJ441Kr5I9rjsRm-EYn-cfOhE,Narayana Nethralaya Eye Hospital,13.011795997619627,77.55216979980469,gmaps_v2,hospital,53561,199.74440563605947
ChIJB8kXjms9rjsRQ9CZSbMQbVw,SPARSH Hospital Yeshwanthpur,13.027713775634766,77.54293060302734,gmaps_v2,clinic,5928,39.19941772494851
ChIJbeV3d9wXrjsR0MkusbZE-zs,Ramaiah Memorial Hospital,13.028156280517578,77.56987762451172,gmaps_v2,clinic,3924,23.46798491524986
ChIJ42Ok9N0XrjsRyGYL-4uYWkE,Apollo Hospital Seshadripuram,12.98834228515625,77.57242584228516,gmaps_v2,hospital,10850,12.809262721334315
ChIJAybMf-c9rjsRLRe6EnWeteM,Specsmakers - Vijaya Nagar,12.972765922546388,77.5389404296875,gmaps_v2,clinic,382,12.331788970258556
ChIJGVbRMvU9rjsRVb_fBxndm0A,Suguna Hospital,12.988144874572754,77.5600357055664,gmaps_v2,hospital,6404,8.586285570419058
ChIJU7wA9V09rjsRCYraMBhjYAw,Sun Orthopaedic Hospital | Shoulder & Knee | Mathikere | Bengaluru,13.033313751220703,77.55493927001953,gmaps_v2,clinic,473,7.827543963280232
ChIJDXECiyUWrjsRcC93I6N3f6Y,"Lenskart.com at Margosa Road, Malleshwaram",12.999958992004396,77.56938934326172,gmaps_v2,clinic,952,4.233756991444911
ChIJszr2p-4XrjsRx2R5eI5StRY,Lenskart.com at New Bel Road,13.027755737304688,77.57169342041016,gmaps_v2,clinic,1079,3.884216470771756
ChIJHZok4tc9rjsRYVjWBCjdKs4,AARTHI SCANS & LABS | RAJAJINAGAR | DIAGNOSTIC CENTER,12.981183052062988,77.54934692382812,gmaps_v2,clinic,3567,3.806853680064911
ChIJxXRUeSoWrjsRrdDPQZ3sk_I,Cloudnine Hospital - Malleshwaram,13.007858276367188,77.56254577636719,gmaps_v2,clinic,5526,3.222048993370519
ChIJp-kMh749rjsRUqGj74e8vdM,Divisha Arthritis and Medical Center,12.9921875,77.53607177734375,gmaps_v2,clinic,1647,3.019143980957647
ChIJPbt9NHsXrjsRd9nqAe0ubzo,Doorstep Delivery Forex(currency exchange) Services.,13.030190467834473,77.5705337524414,gmaps_v2,hospital,794,2.9202112600123984
