id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,place_url,source,category,created_at,date,number_of_reviews,reviews_per_day
ChIJ441Kr5I9rjsRm-EYn-cfOhE,Narayana Nethralaya Eye Hospital,13.011795997619627,77.55216979980469,0x3bae3d92af4a8de3:0x113a1fe79f18e19b,narayananethralaya,Narayana Nethralaya,53561,https://www.google.com/maps/place/?q=place_id:ChIJ441Kr5I9rjsRm-EYn-cfOhE,gmaps_v2,hospital,1695212099,1672044139.0,57302.0,199.74440563605947
ChIJB8kXjms9rjsRQ9CZSbMQbVw,SPARSH Hospital Yeshwanthpur,13.027713775634766,77.54293060302734,0x3bae3d6b8e17c907:0x5c6d10b34999d043,sparshhospital,SPARSH Hospital,5928,https://www.google.com/maps/place/?q=place_id:ChIJB8kXjms9rjsRQ9CZSbMQbVw,gmaps_v2,clinic,1695212099,1682146109.0,9027.0,39.19941772494851
ChIJbeV3d9wXrjsR0MkusbZE-zs,Ramaiah Memorial Hospital,13.028156280517578,77.56987762451172,0x3bae17dc7777e56d:0x3bfb44b6b12ec9d0,N_A,N_A,3924,https://www.google.com/maps/place/?q=place_id:ChIJbeV3d9wXrjsR0MkusbZE-zs,gmaps_v2,clinic,1695212099,1680765456.0,6101.0,23.46798491524986
ChIJ42Ok9N0XrjsRyGYL-4uYWkE,Apollo Hospital Seshadripuram,12.98834228515625,77.57242584228516,0x3bae17ddf4a463e3:0x415a988bfb0b66c8,apollohospitals,Apollo Hospitals,10850,https://www.google.com/maps/place/?q=place_id:ChIJ42Ok9N0XrjsRyGYL-4uYWkE,gmaps_v2,hospital,1695212099,1622027559.0,13047.0,12.809262721334315
ChIJAybMf-c9rjsRLRe6EnWeteM,Specsmakers - Vijaya Nagar,12.972765922546388,77.5389404296875,0x3bae3de77fcc2603:0xe3b59e7512ba172d,specsmakers,Specsmakers,382,https://www.google.com/maps/place/?q=place_id:ChIJAybMf-c9rjsRLRe6EnWeteM,gmaps_v2,clinic,1687847039,1685170639.0,702.0,12.331788970258556
ChIJGVbRMvU9rjsRVb_fBxndm0A,Suguna Hospital,12.988144874572754,77.5600357055664,0x3bae3df532d15619:0x409bdd1907dfbf55,N_A,N_A,6404,https://www.google.com/maps/place/?q=place_id:ChIJGVbRMvU9rjsRVb_fBxndm0A,gmaps_v2,hospital,1687847039,1623406415.0,7304.0,8.586285570419058
ChIJU7wA9V09rjsRCYraMBhjYAw,Sun Orthopaedic Hospital | Shoulder & Knee | Mathikere | Bengaluru,13.033313751220703,77.55493927001953,0x3bae3d5df500bc53:0xc60631830da8a09,N_A,N_A,473,https://www.google.com/maps/place/?q=place_id:ChIJU7wA9V09rjsRCYraMBhjYAw,gmaps_v2,clinic,1695212099,1689991151.0,838.0,7.827543963280232
ChIJDXECiyUWrjsRcC93I6N3f6Y,"Lenskart.com at Margosa Road, Malleshwaram",12.999958992004396,77.56938934326172,0x3bae16258b02710d:0xa67f77a323772f70,lenskart,Lenskart,952,https://www.google.com/maps/place/?q=place_id:ChIJDXECiyUWrjsRcC93I6N3f6Y,gmaps_v2,clinic,1695212099,1675784248.0,1495.0,4.233756991444911
ChIJszr2p-4XrjsRx2R5eI5StRY,Lenskart.com at New Bel Road,13.027755737304688,77.57169342041016,0x3bae17eea7f63ab3:0x16b5528e787964c7,lenskart,Lenskart,1079,https://www.google.com/maps/place/?q=place_id:ChIJszr2p-4XrjsRx2R5eI5StRY,gmaps_v2,clinic,1695212099,1671210965.0,1278.0,3.884216470771756
ChIJHZok4tc9rjsRYVjWBCjdKs4,AARTHI SCANS & LABS | RAJAJINAGAR | DIAGNOSTIC CENTER,12.981183052062988,77.54934692382812,0x3bae3dd7e2249a1d:0xce2add2804d65861,aarthiscan,Aarthi Scans and Labs,3567,https://www.google.com/maps/place/?q=place_id:ChIJHZok4tc9rjsRYVjWBCjdKs4,gmaps_v2,clinic,1695212099,1614255796.0,3813.0,3.806853680064911
