id,name,lat,lng,source,category,number_of_votes,reviews_per_day
ChIJ441Kr5I9rjsRm-EYn-cfOhE,Narayana Nethralaya Eye Hospital,13.011795997619627,77.55216979980469,gmaps_v2,hospital,53561,201.07772824729767
ChIJ42Ok9N0XrjsRyGYL-4uYWkE,Apollo Hospital Seshadripuram,12.98834228515625,77.57242584228516,gmaps_v2,hospital,10850,2.7780032014424374
ChIJHZok4tc9rjsRYVjWBCjdKs4,AARTHI SCANS & LABS | RAJAJINAGAR | DIAGNOSTIC CENTER,12.981183052062988,77.54934692382812,gmaps_v2,clinic,3567,2.5627882659481243
ChIJ1SBtEvUXrjsR-PoNuL7Voac,"Lenskart.com at Mantri Mall, Malleshwaram, Bengaluru",13.005885124206545,77.57108306884766,gmaps_v2,clinic,334,2.422224676917519
ChIJlzh0J-I9rjsRldDpJqpk71A,Dr Agarwals Eye Hospital,13.000006675720217,77.54986572265625,gmaps_v2,hospital,3138,2.1639226960351587
ChIJB8kXjms9rjsRQ9CZSbMQbVw,SPARSH Hospital Yeshwanthpur,13.027713775634766,77.54293060302734,gmaps_v2,clinic,5928,2.022345559512833
ChIJGVbRMvU9rjsRVb_fBxndm0A,Suguna Hospital,12.988144874572754,77.5600357055664,gmaps_v2,hospital,6404,1.9792271251745108
ChIJxXRUeSoWrjsRrdDPQZ3sk_I,Cloudnine Hospital - Malleshwaram,13.007858276367188,77.56254577636719,gmaps_v2,clinic,5526,1.4598853191428005
ChIJc8-KGQkXrjsRA6s3FO1BOtM,Titan Eye+ Lulu Mall,12.981345176696776,77.5637435913086,gmaps_v2,clinic,716,1.382538470110012
ChIJIexasio9rjsRSwoP0A4Qtn0,IVF Access Rajajinagar,12.9911527633667,77.55762481689453,gmaps_v2,clinic,1054,1.3038507276932465
ChIJcU-7k1Y9rjsRmPp0glrR8S8,"Lenskart.com at Rajaji Nagar, 19th Main Road, Bengaluru",13.000310897827148,77.55036926269531,gmaps_v2,clinic,179,1.200839693305095
ChIJiR-5XXg9rjsRcPKp8tB-aY0,NU Hospitals (West),13.012133598327637,77.55274963378906,gmaps_v2,hospital,3624,1.1984466876483328
ChIJQU4P2DAWrjsRtMa1nkN_23g,Kolors Healthcare Sadashiv Nagar,13.003170013427734,77.57836151123047,gmaps_v2,clinic,2456,1.0915844286375105
ChIJszr2p-4XrjsRx2R5eI5StRY,Lenskart.com at New Bel Road,13.027755737304688,77.57169342041016,gmaps_v2,clinic,1079,1.0426557479437977
ChIJbeV3d9wXrjsR0MkusbZE-zs,Ramaiah Memorial Hospital,13.028156280517578,77.56987762451172,gmaps_v2,clinic,3924,0.8865316886057548
ChIJ5b7pxwMWrjsRvAoPkDynRBE,ETA Star The Gardens Apartment,12.972614288330078,77.565185546875,gmaps_v2,hospital,3210,0.8847631079509184
ChIJe58LMms9rjsRhiea4GHK0ls,People Tree Hospitals,13.02879524230957,77.53946685791016,gmaps_v2,hospital,2973,0.848750906700009
ChIJkRpDzoI9rjsRxOMETabtF-A,SkinSerene Clinic,12.986992835998535,77.5421371459961,gmaps_v2,clinic,73,0.8317527191991901
ChIJp-kMh749rjsRUqGj74e8vdM,Divisha Arthritis and Medical Center,12.9921875,77.53607177734375,gmaps_v2,clinic,1647,0.7890253063279269
ChIJZUrNcqw9rjsRU7f-gqiYJ2k,Ayu Health Hospitals,13.017560958862305,77.53941345214844,gmaps_v2,hospital,552,0.7488752927178359
ChIJp7_699c8rjsRs7WodvzpQMc,People Tree Hospitals @ Dasarahalli,13.042570114135742,77.51557159423828,gmaps_v2,hospital,1880,0.7030199978788906
